id,job_title,title,company,location,created,description,salary_min,salary_max,contract_type,contract_time,apply_link
1,Data Scientist / Senior Data Scientist,Data Scientist / Senior Data Scientist,C3 AI,"London, UK",2025-10-13T12:08:29Z,"C3 AI (NYSE: AI), is the Enterprise AI application software company. C3 AI delivers a family of fully integrated products including the C3 Agentic AI Platform, an end-to-end platform for developing, deploying, and operating enterprise AI applications, C3 AI applications, a portfolio of industry-specific SaaS enterprise AI applications that enable the digital transformation of organizations globally, and C3 Generative AI, a suite of domain-specific generative AI offerings for the enterprise. As …",57855.84,57855.84,Unknown,full_time,https://www.adzuna.co.uk/jobs/land/ad/5445373378?se=klamodnQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=a4dbb817&v=D4FF1F7864F8FEC1925CA2A03D6321966D2F98ED
2,Data Scientist,Data Scientist,Dataiku,"London, UK",2025-10-28T12:46:02Z,"Dataiku is The Universal AI Platform™, giving organizations control over their AI talent, processes, and technologies to unleash the creation of analytics, models, and agents. Providing no-, low-, and full-code capabilities, Dataiku meets teams where they are today, allowing them to begin building with AI using their existing skills and knowledge. The role of a Data Scientist at Dataiku is quite unique. Our Data Scientists not only code up solutions to real-world problems, but also participate …",55599.74,55599.74,Unknown,full_time,https://www.adzuna.co.uk/jobs/land/ad/5467850739?se=klamodnQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=a4dbb817&v=C6B10BD16FE7E44C334806BBD8C36F530B91781B
3,Data Scientist,Data Scientist,G-Research,"London, UK",2025-11-03T13:07:08Z,"Do you want to tackle the biggest questions in finance with near infinite compute power at your fingertips? G-Research is a leading quantitative research and technology firm, with offices in London and Dallas. We are proud to employ some of the best people in their field and to nurture their talent in a dynamic, flexible and highly stimulating culture where world-beating ideas are cultivated and rewarded. This role is based in our new Soho Place office – opened in 2023 - in the heart of Central…",46650.49,46650.49,Unknown,full_time,https://www.adzuna.co.uk/jobs/land/ad/5478115802?se=klamodnQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=a4dbb817&v=2A9FCC04499BB288A37AC5AC64814356AD5153A4
4,Data Scientist/Senior Data Scientist – Generative AI,Data Scientist/Senior Data Scientist – Generative AI,C3 AI,"London, UK",2025-10-13T12:08:34Z,"C3 AI (NYSE: AI), is the Enterprise AI application software company. C3 AI delivers a family of fully integrated products including the C3 Agentic AI Platform, an end-to-end platform for developing, deploying, and operating enterprise AI applications, C3 AI applications, a portfolio of industry-specific SaaS enterprise AI applications that enable the digital transformation of organizations globally, and C3 Generative AI, a suite of domain-specific generative AI offerings for the enterprise. As …",51213.75,51213.75,Unknown,full_time,https://www.adzuna.co.uk/jobs/land/ad/5445373712?se=klamodnQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=a4dbb817&v=9132E833203051E6D5B1A9C04A3080A7D2B474B5
5,Data Scientist (Sports Analytics),Data Scientist (Sports Analytics),Singular Recruitment,"London, UK",2025-12-03T16:47:59Z,"Data Scientist (Sports Analytics | Football Focus) Were excited to be partnering with a new client a rapidly growing sports data consultancy that is extending its Data Science team. This is a fantastic opportunity to join a business at the cutting edge of football analytics, where raw data is transformed into actionable insights that drive smarter, evidence-based decisions for clubs, organisations, and partners. With a clear focus on football, youll be delivering innovative data science solutio…",80000.0,80000.0,permanent,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5525872156?se=klamodnQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=a4dbb817&v=84DFCBE361FA7D1C89E213753A85861AF6712541
6,Senior Data Scientist,Senior Data Scientist,Dataiku,"London, UK",2025-10-26T13:20:27Z,"Dataiku is The Universal AI Platform™, giving organizations control over their AI talent, processes, and technologies to unleash the creation of analytics, models, and agents. Providing no-, low-, and full-code capabilities, Dataiku meets teams where they are today, allowing them to begin building with AI using their existing skills and knowledge. The role of a Senior Data Scientist at Dataiku is quite unique. Our Data Scientists not only code up solutions to real-world problems but also partic…",59633.15,59633.15,Unknown,full_time,https://www.adzuna.co.uk/jobs/land/ad/5465325196?se=klamodnQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=a4dbb817&v=3D94E34AFA159E715F0E0A827A1BE55E2883419C
7,Graduate Data Scientist,Graduate Data Scientist,JobVital,"London, UK",2025-11-14T20:40:33Z,"Graduate Data Scientist JobVital is helping a firm to hire their next Data Science Graduates to join a growing London team. This is a perfect opportunity for anyone looking to start a career in data or analytics — whether you’ve recently graduated, about to graduate or gained some hands-on experience through courses, internships, or projects. You’ll learn from a supportive team, work with real data, and contribute to exciting projects that make an impact whilst growing your skillset. What will …",35000.0,35000.0,permanent,full_time,https://www.adzuna.co.uk/jobs/land/ad/5496703391?se=klamodnQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=a4dbb817&v=9C38B920280B84D7A354B731F6215EA46589B224
8,Applied Data Scientist,Applied Data Scientist,dunnhumby,"London, UK",2025-10-17T20:49:53Z,"dunnhumby is the global leader in Customer Data Science, empowering businesses everywhere to compete and thrive in the modern data-driven economy. We always put the Customer First. Our mission: to enable businesses to grow and reimagine themselves by becoming advocates and champions for their Customers. With deep heritage and expertise in retail - one of the world's most competitive markets, with a deluge of multi-dimensional data - dunnhumby today enables businesses all over the world, across …",43815.85,43815.85,Unknown,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5452674352?se=klamodnQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=a4dbb817&v=F0E2C95FC2F882CD42DC5DB64887DB356044A02E
9,Applied Data Scientist,Applied Data Scientist,dunnhumby,"London, UK",2025-10-07T22:39:35Z,"dunnhumby is the global leader in Customer Data Science, empowering businesses everywhere to compete and thrive in the modern data-driven economy. We always put the Customer First. Our mission: to enable businesses to grow and reimagine themselves by becoming advocates and champions for their Customers. With deep heritage and expertise in retail - one of the world's most competitive markets, with a deluge of multi-dimensional data - dunnhumby today enables businesses all over the world, across …",46258.99,46258.99,Unknown,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5436322157?se=klamodnQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=a4dbb817&v=070ED3E8B0D832F423B32A797BD6B5B4CC227253
10,Director of Data Science - Servicing,Director of Data Science - Servicing,Wise,"London, UK",2025-10-26T13:20:50Z,"Company Description Wise is a global technology company, building the best way to move and manage the world’s money. Min fees. Max ease. Full speed. Whether people and businesses are sending money to another country, spending abroad, or making and receiving international payments, Wise is on a mission to make their lives easier and save them money. As part of our team, you will be helping us create an entirely new network for the worlds money. For everyone, everywhere. Job Description We’re loo…",101276.72,101276.72,Unknown,full_time,https://www.adzuna.co.uk/jobs/land/ad/5465325492?se=klamodnQ8BGpLLWRBhatZQ&utm_medium=api&utm_source=a4dbb817&v=4C36627E14E40952D91DF80FA75C4A0AB3F12BF3
